product_code,product_name,ingredient
653806290,트라글립틴듀오정2.5/850mg_(1정),metformin
73600011,메디레이350주(이오헥솔)_(75.5g/100mL),iohexol
642105570,유한메트포르민염산염정500밀리그램_(0.5g/1정),metformin
649400780,메프민서방정500밀리그램(메트포르민염산염)_(0.5g/1정),metformin
671707420,"포시타엠서방정10/100/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)",dapagliflozin
645307240,"엠파로엠정12.5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
640904470,"다파글루엠서방정10/1000밀리그램(다파글리플로진프로판디올수화물,메트포르민염산염)_(1정)",dapagliflozin
647203750,에이폴민서방정(메트포르민염산염)_(0.5g/1정),metformin
645406230,리나틴플러스정2.5/1000밀리그램_(1정),linagliptin
73600012,메디레이350주(이오헥솔)_(37.75g/50mL),iohexol
648105220,"다파진에스엠서방정5/50/1000밀리그램(다파글리플로진, 시타글립틴, 메트포르민)_(1정)",metformin
643310270,"듀비엠폴서방정0.5/25/1000밀리그램(로베글리타존,엠파글리플로진,메트포르민)_(1정)",metformin
651206210,"엠포가듀오정5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",empagliflozin
670105520,"엠플로진듀오정12.5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",metformin
671707340,트라케이듀오정2.5/850밀리그램_(1정),metformin
694004270,"트라이나엠정2.5/500밀리그램(리나글립틴,메트포르민)_(1정)",metformin
642105770,유한메트포르민서방정1000밀리그램(메트포르민염산염)_(1g/1정),metformin
650700910,콤비글라이즈서방정5/1000밀리그램_(1정),saxagliptin
640008110,"다파엔메트서방정10/1000밀리그램(다파글리플로진, 메트포르민)_(1정)",dapagliflozin anhydrous lactose mixture
73600014,메디레이350주(이오헥솔)_(377.5g/500mL),iohexol
643307470,듀비메트서방정0.25/750밀리그램_(1정),lobeglitazone
657309240,"엠파앙듀오서방정25/1000밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",metformin
649105950,"리나젠타듀오서방정2.5/1000밀리그램(리나글립틴, 메트포르민염산염)_(1정)",metformin
653501550,자디앙듀오정5/850밀리그램_(1정),empagliflozin
642907040,"엠파칸듀오정12.5/500밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",empagliflozin
662504690,플로가듀오서방정5/1000밀리그램_(1정),metformin
660703970,위디앙듀오정12.5/850밀리그램_(1정),metformin
645210990,"엠파콤비정5/850밀리그램(엠파글리플로진, 메트포르민염산염)_(1정)",empagliflozin
653501390,트라젠타듀오정2.5/500밀리그램_(1정),metformin
645406260,리나틴플러스정2.5/500밀리그램_(1정),metformin
73600015,메디레이350주(이오헥솔)_(22.65g/30mL),iohexol
653501530,자디앙듀오정12.5/500밀리그램_(1정),empagliflozin
652904720,"엠파벡스정5/1000밀리그램(엠파글리플로진,메트포르민염산염)_(1정)",empagliflozin
661700580,글루코파지엑스알1000밀리그램서방정(메트포르민염산염)_(1g/1정),metformin
649702860,테넬리엘듀오서방정20/1000밀리그램_(1정),metformin
694004300,"자누플로멧서방정5/50/1000밀리그램(다파글리플로진,시타글립틴,메트포르민)_(1정)",metformin
643508970,"엠파론듀오서방정12.5/1000밀리그램(엠파글리플로진,메트포르민)_(1정)",metformin
642507700,다파프로메트서방정5/1000밀리그램_(1정),metformin
644000800,삼익염산메트포르민정(메트포르민염산염)_(0.5g/1정),metformin
669802240,엠포민정(메트포르민염산염)_(0.5g/1정),metformin
643606490,폴민다파서방정10/500밀리그램_(1정),metformin
645405300,리피토엠서방정10/500밀리그램_(1정),atorvastatin
73600016,메디레이350주(이오헥솔)_(101.925g/135mL),iohexol
